MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,EXC
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,EXC
26,FAIL
27,FAIL
28,LIVE
29,EXC
30,FAIL
31,EXC
32,FAIL
33,EXC
34,EXC
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,EXC
40,FAIL
41,FAIL
42,LIVE
43,FAIL
44,FAIL
45,EXC
46,FAIL
47,FAIL
48,EXC
49,FAIL
50,FAIL
51,EXC
52,FAIL
53,FAIL
54,LIVE
55,FAIL
56,FAIL
57,EXC
58,FAIL
59,FAIL
60,EXC
61,FAIL
62,FAIL
63,EXC
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,EXC
98,FAIL
99,FAIL
100,FAIL
101,LIVE
102,FAIL
103,EXC
104,FAIL
105,EXC
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,FAIL
121,FAIL
122,FAIL
123,FAIL
124,EXC
125,FAIL
126,FAIL
127,EXC
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,EXC
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,LIVE
138,FAIL
139,FAIL
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,EXC
148,FAIL
149,FAIL
150,LIVE
151,FAIL
152,FAIL
153,EXC
154,FAIL
155,FAIL
156,EXC
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,EXC
164,FAIL
165,LIVE
166,FAIL
167,FAIL
168,EXC
169,EXC
170,LIVE
171,LIVE
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,EXC
192,EXC
193,LIVE
194,FAIL
195,EXC
196,FAIL
197,FAIL
198,EXC
199,FAIL
200,FAIL
201,FAIL
202,FAIL
203,TIME
204,EXC
205,FAIL
206,FAIL
207,FAIL
208,FAIL
209,EXC
210,EXC
211,EXC
212,TIME
213,FAIL
214,EXC
215,FAIL
216,LIVE
217,LIVE
218,FAIL
219,TIME
220,FAIL
221,TIME
222,FAIL
223,TIME
224,FAIL
225,LIVE
226,FAIL
227,FAIL
228,EXC
229,TIME
230,FAIL
231,LIVE
232,FAIL
233,FAIL
234,EXC
235,FAIL
236,FAIL
237,TIME
238,FAIL
239,TIME
240,FAIL
241,FAIL
242,FAIL
243,LIVE
244,FAIL
245,FAIL
246,FAIL
247,FAIL
248,LIVE
249,FAIL
250,EXC
251,FAIL
252,FAIL
253,LIVE
254,FAIL
255,FAIL
256,FAIL
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,FAIL
262,FAIL
263,FAIL
264,FAIL
265,FAIL
266,EXC
267,EXC
268,EXC
269,EXC
270,EXC
271,EXC
272,FAIL
273,FAIL
274,FAIL
275,TIME
276,EXC
277,EXC
278,EXC
279,EXC
280,FAIL
281,LIVE
282,LIVE
283,FAIL
284,LIVE
285,LIVE
286,FAIL
287,LIVE
288,FAIL
289,LIVE
290,EXC
291,FAIL
292,EXC
293,FAIL
294,LIVE
295,EXC
296,FAIL
297,EXC
298,FAIL
299,LIVE
300,LIVE
301,EXC
302,LIVE
303,LIVE
304,LIVE
305,LIVE
306,LIVE
307,LIVE
308,LIVE
309,LIVE
310,LIVE
311,LIVE
312,LIVE
313,LIVE
314,LIVE
318,LIVE
319,LIVE
323,LIVE
324,LIVE
331,FAIL
332,EXC
333,FAIL
334,LIVE
335,LIVE
336,FAIL
337,LIVE
338,EXC
339,LIVE
340,EXC
341,FAIL
342,FAIL
343,EXC
344,LIVE
345,EXC
346,FAIL
347,EXC
348,EXC
349,FAIL
350,EXC
351,EXC
352,EXC
353,EXC
354,FAIL
355,FAIL
356,EXC
357,FAIL
358,FAIL
359,EXC
